Arauca,Arauca,Colombia
Armenia,Quindio,Colombia
Barranquilla,Atlantico,Colombia
Bogota,Distrito Capital,Colombia
Bucaramanga,Santander,Colombia
Buenaventura,Valle del Cauca,Colombia
Cali,Valle del Cauca,Colombia
Cartagena,Bolivar,Colombia
Cucuta,Norte de Santander,Colombia
Florencia,Caqueta,Colombia
Ibague,Tolima,Colombia
Manizales,Caldas,Colombia
Medellin,Antioquia,Colombia
Mocoa,Putumayo,Colombia
Monteria,Cordoba,Colombia
Neiva,Huila,Colombia
Panama City,Panama District,Panama
Pasto,Nariño,Colombia
Pereira,Risaralda,Colombia
Popayan,Cauca,Colombia
Quibdo,Choco,Colombia
Riohacha,La Guajira,Colombia
San Cristobal,Tachira,Venezuela
Santa Marta,Magdalena,Colombia
Sincelejo,Sucre,Colombia
Tulcan,Charchi,Ecuador
Tunja,Boyaca,Colombia
Valledupar,Cesar,Colombia
Villavicencio,Meta,Colombia
Yopal,Casanare,Colombia
